layer,prefill_calls,prefill_igpu_ratio,prefill_policy_igpu_ratio,decode_events,decode_calls,decode_igpu_ratio,decode_policy_igpu_ratio,decode_cpu_load,exploration_calls,load_drop_reprobe_calls,periodic_reprobe_calls,switch_delta,final_cpu_ms_per_row,final_igpu_ms_per_row,final_cpu_load,final_igpu_ratio,final_policy_igpu_ratio
13,1,0.0,0.0,246,300,0.0,0.0,0.00035170822072056276,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
14,1,0.0,0.0,284,300,0.0,0.0,0.00032153548490896353,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
15,1,0.0,0.0,285,300,0.0,0.0,0.0003216436634102138,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
16,1,0.0,0.0,287,300,0.0,0.0,0.0003198312631623897,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
17,1,0.0,0.0,287,300,0.0,0.0,0.00032066434402319526,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
18,1,0.0,0.0,287,300,0.0,0.0,0.00031914844459000354,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
19,1,0.0,0.0,289,300,0.0,0.0,0.00032196100164583186,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
20,1,0.0,0.0,291,300,0.0,0.0,0.0003218361058194811,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
21,1,0.0,0.0,294,300,0.0,0.0,0.00032613201701072586,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
22,1,0.0,0.0,295,300,0.0,0.0,0.0003262211204613171,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
23,1,0.0,0.0,296,300,0.0,0.0,0.0003211048095060202,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
24,1,0.0,0.0,296,300,0.0,0.0,0.00032080728971777716,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
25,1,0.0,0.0,297,300,0.0,0.0,0.0003194190615492213,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
26,1,0.0,0.0,299,300,0.0,0.0,0.00032219383011882505,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
27,1,0.0,0.0,299,300,0.0,0.0,0.0003194394922805562,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
28,1,0.0,0.0,299,300,0.0,0.0,0.0003194022167857232,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
29,1,0.0,0.0,299,300,0.0,0.0,0.00031935001592501064,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
30,1,0.0,0.0,299,300,0.0,0.0,0.00032794805716548583,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
31,1,0.0,0.0,299,300,0.0,0.0,0.00032795703527275084,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
32,1,0.0,0.0,299,300,0.0,0.0,0.0003279396251430929,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
33,1,0.0,0.0,299,300,0.0,0.0,0.00033338105835961564,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
34,1,0.0,0.0,299,300,0.0,0.0,0.00033234380334761225,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
35,1,0.0,0.0,299,300,0.0,0.0,0.00033234254203610666,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
36,1,0.0,0.0,299,300,0.0,0.0,0.0003323582889061072,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
37,1,0.0,0.0,299,300,0.0,0.0,0.00032894798096094746,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
38,1,0.0,0.0,299,300,0.0,0.0,0.0003288391727619455,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
39,1,0.0,0.0,299,300,0.0,0.0,0.00032884751467160335,0,0,0,0,0.036299414932727814,0.0933380126953125,0.003492549527436495,0.0,0.0
