load_workers,strategy,metric,unit,blocks,samples,mean,block_stdev,ci95_low,ci95_high
12,igpu-fixed,ttft_ms,ms,1,5,10132.279999599972,0.0,10117.78991659994,10149.155859599978
12,igpu-fixed,tpot_ms,ms/token,1,5,53.55265204974965,0.0,53.422092813021735,53.67887751252098
12,igpu-fixed,e2e_ms,ms,1,5,42210.3882996,0.0,42124.252701,42296.5238982
16,dynamic,prefill_tps,token/s,1,5,98.01727773377299,0.0,94.89505080977474,100.57081642086168
16,dynamic,decode_tps,token/s,1,5,19.662427282256992,0.0,16.125406811274296,21.460927309795114
16,dynamic,ttft_ms,ms,1,5,10688.020462199893,0.0,10405.93011719975,11018.51076519979
16,dynamic,tpot_ms,ms/token,1,5,53.201193295158475,0.0,46.60395452387296,66.28004537596006
16,dynamic,e2e_ms,ms,1,5,42555.6029542,0.0,38434.13217480029,50276.86808360013
16,packed-cpu-fixed,prefill_tps,token/s,1,5,90.88763400188571,0.0,89.01274964229583,92.52037753702884
16,packed-cpu-fixed,decode_tps,token/s,1,5,1.4411560342999805,0.0,1.4162514344148804,1.4642338998604267
16,packed-cpu-fixed,ttft_ms,ms,1,5,11518.445719199735,0.0,11310.323012400113,11762.215736999497
16,packed-cpu-fixed,tpot_ms,ms/token,1,5,694.1525167569287,0.0,682.9839279409018,706.3911185382301
16,packed-cpu-fixed,e2e_ms,ms,1,5,427315.88956299966,0.0,420456.1254303997,434881.6832855991
16,igpu-fixed,prefill_tps,token/s,1,5,101.68062606420173,0.0,100.3595251175727,103.10490428474641
16,igpu-fixed,decode_tps,token/s,1,5,18.894988658006405,0.0,18.85055435560613,18.934356983420578
16,igpu-fixed,ttft_ms,ms,1,5,10293.655000599938,0.0,10152.707193599872,10436.525992399947
16,igpu-fixed,tpot_ms,ms/token,1,5,52.924456360267165,0.0,52.8141132661102,53.04926616527541
16,igpu-fixed,e2e_ms,ms,1,5,41995.48684500001,0.0,41871.70450419999,42107.474184000064
20,dynamic,prefill_tps,token/s,1,5,79.54864115365658,0.0,74.68815164517446,85.03670999804876
20,dynamic,decode_tps,token/s,1,5,13.446601881098621,0.0,11.500212038787748,14.628185695208936
20,dynamic,ttft_ms,ms,1,5,13223.02586079968,0.0,12361.941913799274,14011.590204200003
20,dynamic,tpot_ms,ms/token,1,5,76.39041633789682,0.0,68.37143741402403,90.46598358163646
20,dynamic,e2e_ms,ms,1,5,58981.13595759969,0.0,54246.54125779962,66592.5705365995
20,packed-cpu-fixed,prefill_tps,token/s,1,5,71.57684757000109,0.0,69.04305620490057,74.11063893510163
20,packed-cpu-fixed,decode_tps,token/s,1,5,1.394914375337943,0.0,1.3735057501906105,1.417487728480006
20,packed-cpu-fixed,ttft_ms,ms,1,5,14644.211899799484,0.0,14122.902262199568,15165.5215373994
20,packed-cpu-fixed,tpot_ms,ms/token,1,5,717.1218721061772,0.0,705.6340030313864,728.0956113999997
20,packed-cpu-fixed,e2e_ms,ms,1,5,444200.3054576002,0.0,437228.26266880037,450399.3536009999
20,igpu-fixed,prefill_tps,token/s,1,5,96.6254683935728,0.0,94.81409052480691,98.86075900650125
20,igpu-fixed,decode_tps,token/s,1,5,13.539037262679852,0.0,13.362676417045085,13.693562985621677
20,igpu-fixed,ttft_ms,ms,1,5,10835.3701258,0.0,10593.980963399987,11032.130105600027
20,igpu-fixed,tpot_ms,ms/token,1,5,73.8747734637729,0.0,73.0277556273789,74.81730972287137
20,igpu-fixed,e2e_ms,ms,1,5,55087.09805719998,0.0,54463.977604999964,55805.16558079996
