load_workers,candidate,baseline,metric,unit,effect,effect_pct,ci95_low,ci95_high
12,dynamic,igpu-fixed,decode_tps,token/s,improvement,12.776712474880147,12.280447991953247,13.306950652737527
12,dynamic,igpu-fixed,ttft_ms,ms,reduction,20.018504856556206,19.333055027109737,20.67384350608359
12,dynamic,igpu-fixed,tpot_ms,ms/token,reduction,11.328165585894522,10.932752336640077,11.745128979316778
12,dynamic,igpu-fixed,e2e_ms,ms,reduction,13.41420511560063,13.045648448280337,13.828117285658681
16,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,7.844459601335152,4.004250761260139,11.457025684735743
16,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,1264.3510358548867,1015.3378349254554,1406.714135074072
16,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,7.209525288777741,3.7652833916261796,10.301529889885531
16,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,92.33580632341236,90.41723748665449,93.36398635450354
16,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,90.04118405292158,88.1892311010091,91.07608421319895
16,dynamic,igpu-fixed,prefill_tps,token/s,improvement,-3.6027987555030228,-6.8906393577759095,-0.6533919072942721
16,dynamic,igpu-fixed,decode_tps,token/s,improvement,4.061598755844709,-14.647735618652728,13.653145967220336
16,dynamic,igpu-fixed,ttft_ms,ms,reduction,-3.8311509524748155,-7.420298909472756,-0.661202538826288
16,dynamic,igpu-fixed,tpot_ms,ms/token,reduction,-0.5228904629789755,-25.26789174342936,12.016127964132911
16,dynamic,igpu-fixed,e2e_ms,ms,reduction,-1.3337531036782924,-19.777807250482304,8.528792893345734
20,dynamic,packed-cpu-fixed,prefill_tps,token/s,improvement,11.13739128544211,3.598482075756726,19.677415200989934
20,dynamic,packed-cpu-fixed,decode_tps,token/s,improvement,863.9732817178074,723.0197797035178,952.3458655973734
20,dynamic,packed-cpu-fixed,ttft_ms,ms,reduction,9.7047628696172,3.2354192662079395,16.225002442842545
20,dynamic,packed-cpu-fixed,tpot_ms,ms/token,reduction,89.34763820359582,87.37093283839596,90.4969618042336
20,dynamic,packed-cpu-fixed,e2e_ms,ms,reduction,86.72195060810701,84.95922688344672,87.83840353664701
