strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens,load_workers,load,sweep_artifact
igpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/05-compute8,100.05561368409454,17.94030891952299,10454.186041999947,55.74040026210366,43842.75368900012,0.4946717281437948,0.03200618612599197,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/05-compute8,99.89461531211391,18.17473926403289,10481.045416999905,55.02142206677823,43438.94659700004,0.4921887619706934,0.03819510271158739,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/05-compute8,99.82307398448995,18.025984190846966,10478.539261999913,55.47547304006673,43708.4172299999,0.49209370592484725,0.038179395566879534,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
igpu-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720/runs/05-compute8,99.95146684213861,18.40204049851902,10475.083888999961,54.3417997629382,43025.88488900005,0.4931683964077297,0.037258504415883895,600,8,compute8,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/igpu-fixed-pilot-b1-20260720
dynamic,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/02-compute12,127.68919998320312,20.972876331723008,8191.76563200017,47.6806320784635,36752.526881999984,0.7531217233819465,0.017359896472302284,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/02-compute12,129.52732889986137,20.961337262041905,8075.515868999901,47.706879933221735,36652.00643400021,0.7524647021875085,0.012855812514266748,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/02-compute12,130.71159211220098,21.211040685203397,8010.001126000134,47.145258681135324,36250.08054600039,0.7527439908326545,0.015426064864393702,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,4,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/02-compute12,127.56897605141052,21.1127284564723,8199.485740000455,47.364792383972556,36571.061095000005,0.7544930670572293,0.018289380884185327,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
dynamic,1,5,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720/runs/02-compute12,130.17568301799173,21.038001676053458,8042.976812000234,47.53303167278724,36515.32620800026,0.7533624909168186,0.017275488243512955,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/dynamic-pilot-b1-20260720
packed-cpu-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/02-compute12,125.64542890161678,1.7131045345205649,8325.014361000285,583.735539687812,357982.670368001,0.9990920950813902,0.05764602782925802,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/02-compute12,129.9148698014272,1.8340078517795892,8051.426304000415,545.2539360884807,334658.6493470004,0.9992544527399235,0.05641708097039063,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
packed-cpu-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720/runs/02-compute12,117.30633554306593,1.9433798767255441,8925.349130999166,514.5674358247078,317151.5821109988,0.9988554384017758,0.05987685016923974,600,12,compute12,/home/wy/Work/ktransformers/artifacts/running-server-sweeps/packed-cpu-fixed-pilot-b1-20260720
