strategy,block,sample,artifact,prefill_tps,decode_tps,ttft_ms,tpot_ms,e2e_ms,cpu_busy_fraction,cpu_psi_some_fraction,completion_tokens
dynamic-v5-telemetry,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-b-n5-20260719,137.29081216846126,15.945743268442916,7618.863807991147,62.71266150252329,45183.81352798315,0.9904795642740114,0.1742404419297572,600
dynamic-v5-telemetry,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-b-n5-20260719,150.4867192244241,15.800670854536978,6950.779480015626,63.288452066759035,44860.62976298854,0.9890403933417323,0.17408284166446197,600
dynamic-v5-telemetry,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-b-n5-20260719,153.53833434949252,15.481978856451047,6812.630893982714,64.59122630717965,45502.85044297925,0.9920518880888254,0.16421145262728495,600
dynamic-v5-telemetry,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-b-n5-20260719,140.66908757100816,14.350058658507646,7435.89098402299,69.68612629378592,49177.947362011764,0.993409879079417,0.1713998129988246,600
dynamic-v5-telemetry,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-b-n5-20260719,145.07285779200694,15.400282512672652,7210.170227015624,64.93387372453172,46105.6226780056,0.9845891711795796,0.1788264392636142,600
phase-fixed,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-compute20-steady-c-n5-20260719,141.35581972353737,17.543097714111628,7399.766079994151,57.00247563436886,41544.313427002635,0.9912458155720926,0.1660948707472494,600
phase-fixed,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-compute20-steady-c-n5-20260719,146.8335910443325,15.055124468804776,7123.7105389882345,66.4225660885147,46910.90196699952,0.986916047302701,0.1695511467054479,600
phase-fixed,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-compute20-steady-c-n5-20260719,144.18959623800822,17.608092129652654,7254.337533988291,56.79206995492512,41272.85390999168,0.9891148876336396,0.1701133150305423,600
phase-fixed,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-compute20-steady-c-n5-20260719,141.14127581776157,16.190452369605794,7411.014205019455,61.764796756222324,44408.188861008966,0.9944252362235761,0.16782370282667122,600
phase-fixed,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/phase-fixed-engine-low-compute20-steady-c-n5-20260719,145.4149687020443,15.33911493391038,7193.207200994948,65.19280964440047,46243.75122500351,0.9923874609370776,0.16225350429945995,600
dynamic-v5,1,1,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-no-telemetry-d-n5-20260719,139.88695650503664,15.3291708928241,7477.466278010979,65.2351002537339,46553.35409101099,0.9918326992928836,0.1688400491889117,600
dynamic-v5,1,2,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-no-telemetry-d-n5-20260719,139.4560371599916,14.875652142727757,7500.571659009438,67.22394355590446,47767.76940599666,0.9957809441053612,0.16983712085194522,600
dynamic-v5,1,3,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-no-telemetry-d-n5-20260719,141.31763985637215,17.141459258120086,7401.765279006213,58.338090412360295,42346.34079399984,0.9901722223534692,0.17399306455514138,600
dynamic-v5,1,4,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-no-telemetry-d-n5-20260719,145.8737241922342,17.5457515480631,7170.585421001306,56.993853883129404,41309.95415899088,0.9950731760461935,0.1646940074551086,600
dynamic-v5,1,5,/home/wy/Work/ktransformers/artifacts/running-server-bench/dynamic-v5-engine-low-compute20-steady-no-telemetry-d-n5-20260719,143.9143102961439,16.660052533554527,7268.213965988252,60.0238203322546,43222.544265008764,0.9907886362321356,0.17271942691354694,600
